Fi01 MLNO INFI SD HD;10.75.14.34;HE5100
Fi02 MLNO INFI SD HD;10.75.14.35;HE5100
Fi03 MLNO INFI SD HD;10.75.14.36;HE5100
Fi04 MLNO INFI SD HD;10.75.14.37;HE5100
Fi07 MLNO INFI SD HD MPEG4;10.75.14.39;HE9100
Fi08 MLNO INFI SD HD MPEG4;10.75.14.40;HE9100
